case_id,case_description,case_budget,case_lat,case_lon,preferred_gender
1,"A-Level Physics student, SEN-friendly",46,22.33323722127248,114.20833079718562,Any
2,IB Math tutoring required,85,22.319536282515784,114.24668971075805,Female
3,"English tutoring, SEN-friendly",68,22.318454340128994,114.20113464205058,Any
4,Medical interview prep,35,22.32625736756808,114.2200217116101,Any
5,Aviation studies tutoring,39,22.321888140044145,114.20314373801364,Any
6,"English tutoring, SEN-friendly",94,22.283361021645497,114.17647331463121,Male
7,IB Math tutoring required,101,22.294603907129233,114.16169031154423,Male
8,"GCSE Chemistry tutoring, online",123,22.29000519824084,114.23706538906653,Male
9,"GCSE Chemistry tutoring, online",122,22.32017756078186,114.20095143825502,Female
10,Medical interview prep,41,22.329022822272993,114.22755326530888,Male
11,Math Olympiad training,47,22.34044330435845,114.16947135304471,Male
12,"A-Level Physics student, SEN-friendly",38,22.339690842294207,114.22923409163502,Any
13,"English tutoring, SEN-friendly",101,22.329327727393093,114.1934101992272,Female
14,IB Math tutoring required,135,22.281694186104733,114.19525098436807,Female
15,Aviation studies tutoring,91,22.286338251700876,114.16678068428828,Male
16,Math Olympiad training,134,22.30092292114224,114.18187434426727,Male
17,Math Olympiad training,102,22.33606237041463,114.21534010524178,Male
18,IB Math tutoring required,77,22.33544799298509,114.16864260399471,Any
19,Math Olympiad training,32,22.3309436158453,114.21964224055802,Female
20,"A-Level Physics student, SEN-friendly",101,22.320717380618674,114.16412568043964,Female
21,"English tutoring, SEN-friendly",62,22.335521995204864,114.16388166707519,Female
22,"A-Level Physics student, SEN-friendly",69,22.30273794516007,114.20008690913582,Female
23,Medical interview prep,114,22.31623833590302,114.1626499599299,Male
24,"A-Level Physics student, SEN-friendly",47,22.346806436937246,114.15837811290046,Any
25,"GCSE Chemistry tutoring, online",124,22.29440370492937,114.19346050055908,Male
26,"GCSE Chemistry tutoring, online",116,22.309375459902835,114.18042698652638,Any
27,IB Math tutoring required,44,22.296656950835217,114.16674702250033,Female
28,Math Olympiad training,41,22.338076405400418,114.20088848029764,Any
29,"A-Level Physics student, SEN-friendly",105,22.28176336945823,114.1519372542905,Any
30,Math Olympiad training,38,22.299357813291113,114.2065201646605,Male
31,"GCSE Chemistry tutoring, online",69,22.328380531901207,114.21115476281804,Male
32,Math Olympiad training,148,22.306745573161496,114.19592316119211,Male
33,"GCSE Chemistry tutoring, online",80,22.33601318118683,114.22183655516714,Female
34,IB Math tutoring required,149,22.283478604967357,114.19504464028365,Female
35,"A-Level Physics student, SEN-friendly",106,22.312732314813154,114.2315379285983,Female
36,"GCSE Chemistry tutoring, online",118,22.334948549116504,114.21796421747247,Male
37,IB Math tutoring required,57,22.285595731011167,114.17362976647011,Male
38,"English tutoring, SEN-friendly",53,22.32630454754015,114.16211573705642,Any
39,"English tutoring, SEN-friendly",127,22.348640139282626,114.2224477433298,Male
40,"English tutoring, SEN-friendly",43,22.280314785346516,114.2099805340604,Male
41,"GCSE Chemistry tutoring, online",104,22.33937753176983,114.22234939093308,Any
42,"GCSE Chemistry tutoring, online",122,22.324885291322026,114.21743416734316,Female
43,Medical interview prep,128,22.2986287870653,114.18715428435524,Male
44,"A-Level Physics student, SEN-friendly",69,22.31874569910659,114.21520664925812,Male
45,Math Olympiad training,81,22.30730054591816,114.20908868398732,Male
46,"English tutoring, SEN-friendly",51,22.32063679379397,114.21726810149998,Female
47,"A-Level Physics student, SEN-friendly",87,22.34843544307672,114.23525268787616,Female
48,Math Olympiad training,86,22.305391331580903,114.18875278863142,Male
49,"English tutoring, SEN-friendly",130,22.29130251442807,114.15217171033007,Any
50,"English tutoring, SEN-friendly",59,22.320643290334587,114.22687065016585,Male
51,"A-Level Physics student, SEN-friendly",61,22.301788609360006,114.16942570116169,Any
52,IB Math tutoring required,127,22.321834015738897,114.22419835850029,Male
53,"A-Level Physics student, SEN-friendly",82,22.331459004793462,114.24641493572759,Any
54,"English tutoring, SEN-friendly",133,22.316321351593665,114.23268043674884,Any
55,Aviation studies tutoring,98,22.340554610146995,114.15377064038158,Any
56,"A-Level Physics student, SEN-friendly",137,22.319881558487037,114.21308352187114,Female
57,Aviation studies tutoring,77,22.306576365292354,114.2366297061749,Female
58,Aviation studies tutoring,53,22.318282219971966,114.21989448069364,Any
59,IB Math tutoring required,129,22.315111684017474,114.21657779420255,Any
60,Math Olympiad training,39,22.30241639687113,114.16257435728683,Female
61,"GCSE Chemistry tutoring, online",103,22.3483619772627,114.23683097905392,Male
62,IB Math tutoring required,47,22.31420452160031,114.23483856449057,Any
63,Math Olympiad training,127,22.33727159735895,114.17796848612215,Female
64,Math Olympiad training,67,22.32977049987073,114.1782898085793,Any
65,"GCSE Chemistry tutoring, online",57,22.335292083480766,114.1924141669364,Any
66,Math Olympiad training,88,22.307489928856846,114.20277676408062,Female
67,"GCSE Chemistry tutoring, online",130,22.326743786392758,114.22785207864268,Male
68,"English tutoring, SEN-friendly",69,22.321834922257057,114.18160139124475,Female
69,"GCSE Chemistry tutoring, online",89,22.33112371207002,114.1627980907528,Female
70,"English tutoring, SEN-friendly",111,22.309140442405106,114.2160008433459,Any
71,Medical interview prep,103,22.349027334141784,114.23862452921597,Male
72,"GCSE Chemistry tutoring, online",128,22.286899678487238,114.20217573922815,Male
73,Math Olympiad training,128,22.332805064410138,114.19031920807268,Female
74,Math Olympiad training,142,22.308816867981786,114.2376024241744,Female
75,"A-Level Physics student, SEN-friendly",98,22.338704464525684,114.20023755365679,Male
76,"GCSE Chemistry tutoring, online",91,22.314165836241482,114.16501158039533,Female
77,Medical interview prep,32,22.303967288306424,114.17685215510048,Male
78,Aviation studies tutoring,49,22.324316163651048,114.20678775880651,Any
79,"A-Level Physics student, SEN-friendly",54,22.299093167313682,114.22624646690713,Any
80,Math Olympiad training,54,22.291946484826003,114.15845817510498,Male
81,Aviation studies tutoring,31,22.347759666991525,114.20475167319476,Any
82,Medical interview prep,68,22.340337808329924,114.1787342506577,Female
83,"GCSE Chemistry tutoring, online",77,22.348933826098808,114.23392033175121,Male
84,"GCSE Chemistry tutoring, online",44,22.334423411588876,114.18084606807452,Female
85,IB Math tutoring required,46,22.28365883224468,114.22300409550992,Male
86,"English tutoring, SEN-friendly",89,22.313487679855584,114.21924886616331,Male
87,Medical interview prep,86,22.282797932533974,114.15613419404048,Female
88,Aviation studies tutoring,139,22.34848258469594,114.18650120679943,Any
89,"A-Level Physics student, SEN-friendly",32,22.314946438291713,114.2131014992345,Female
90,Math Olympiad training,129,22.346401802668638,114.16983738365603,Male
91,"English tutoring, SEN-friendly",123,22.334205965437945,114.209548985516,Male
92,Aviation studies tutoring,111,22.280416835750145,114.22223443577673,Any
93,"English tutoring, SEN-friendly",105,22.291938787967347,114.18347474712881,Female
94,"A-Level Physics student, SEN-friendly",47,22.328522415455126,114.15529205738792,Any
95,"A-Level Physics student, SEN-friendly",77,22.328193564820445,114.1846778964188,Any
96,Medical interview prep,46,22.315806194550497,114.22095257986744,Male
97,Math Olympiad training,58,22.32943768819913,114.18036378288386,Any
98,"English tutoring, SEN-friendly",85,22.336255501604697,114.21855861816864,Male
99,"GCSE Chemistry tutoring, online",98,22.311351529113097,114.20407607055532,Male
100,"A-Level Physics student, SEN-friendly",94,22.319778749686694,114.24402831864249,Male
